Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
SMPSO,ZDT2,0,HV,0.32867797112987024
SMPSO,ZDT2,21,Time,8.195638179779053
SMPSO,ZDT2,8,GD,0.0004525869759594455
SMPSO,ZDT2,8,EP,0.005351923591444263
SMPSO,ZDT2,8,HV,0.3284487199897208
SMPSO,ZDT2,23,Time,7.410136461257935
SMPSO,ZDT2,20,GD,0.0004719876203765785
SMPSO,ZDT2,20,EP,0.005544147931684118
SMPSO,ZDT2,20,HV,0.32858794339185526
SMPSO,ZDT2,7,GD,0.0005284223180399337
SMPSO,ZDT2,7,EP,0.0055530424276624135
SMPSO,ZDT2,7,HV,0.3284244831857898
SMPSO,ZDT2,2,GD,0.00042377850061257584
SMPSO,ZDT2,2,EP,0.005376952647306532
SMPSO,ZDT2,2,HV,0.32857396398585176
SMPSO,ZDT2,4,Time,8.703576564788818
SMPSO,ZDT2,12,GD,0.00042271154280271514
SMPSO,ZDT2,12,EP,0.00552969646762802
SMPSO,ZDT2,12,HV,0.32854447182721186
SMPSO,ZDT2,18,GD,0.0004764835239934466
SMPSO,ZDT2,18,EP,0.005606656617745898
SMPSO,ZDT2,18,HV,0.3285159274316277
SMPSO,ZDT2,7,Time,8.647249221801758
SMPSO,ZDT2,24,Time,8.31047797203064
SMPSO,ZDT2,21,GD,0.0004269674436225773
SMPSO,ZDT2,21,EP,0.005644832071630801
SMPSO,ZDT2,21,HV,0.32850887269569645
SMPSO,ZDT2,11,Time,8.127891540527344
SMPSO,ZDT2,10,GD,0.00038390575501650524
SMPSO,ZDT2,10,EP,0.005204013440179178
SMPSO,ZDT2,10,HV,0.32864727188697057
SMPSO,ZDT2,10,Time,7.917908430099487
SMPSO,ZDT1,5,GD,0.0005760857278742026
SMPSO,ZDT1,5,EP,0.005623062936360973
SMPSO,ZDT1,5,HV,0.6617740849459038
SMPSO,ZDT1,6,Time,7.2884087562561035
SMPSO,ZDT1,17,GD,0.0007257125882842108
SMPSO,ZDT1,17,EP,0.006328021098049086
SMPSO,ZDT1,17,HV,0.6615022990202067
SMPSO,ZDT1,9,GD,0.0006963927112944166
SMPSO,ZDT1,9,EP,0.005571961447826013
SMPSO,ZDT1,9,HV,0.661676238481853
SMPSO,ZDT1,14,Time,8.215290784835815
SMPSO,ZDT1,14,GD,0.0005453001623788071
SMPSO,ZDT1,14,EP,0.005287131018601232
SMPSO,ZDT1,14,HV,0.661789136235963
SMPSO,ZDT1,0,Time,8.081101179122925
SMPSO,ZDT1,3,GD,0.0006046422283145382
SMPSO,ZDT1,3,EP,0.0057012471932301745
SMPSO,ZDT1,3,HV,0.6618499798478967
SMPSO,ZDT1,8,Time,8.328132629394531
SMPSO,ZDT1,9,Time,7.1137237548828125
SMPSO,ZDT1,15,Time,7.31774377822876
SMPSO,ZDT1,23,GD,0.0006300037164979795
SMPSO,ZDT1,23,EP,0.0056288943586623175
SMPSO,ZDT1,23,HV,0.661806571849046
SMPSO,ZDT1,19,Time,8.005493402481079
SMPSO,ZDT1,1,GD,0.000546560770956876
SMPSO,ZDT1,1,EP,0.005392422875298009
SMPSO,ZDT1,1,HV,0.6619246674895792
SMPSO,ZDT1,20,Time,7.903316497802734
SMPSO,ZDT1,17,Time,7.0426154136657715
